Date,Open,High,Low,Close,Volume
2020-01-01,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,18565664997
2020-01-02,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,20802083465
2020-01-03,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,28111481032
2020-01-04,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,18444271275
2020-01-05,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,19725074095
2020-01-06,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598
2020-01-07,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327
2020-01-08,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265
2020-01-09,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466
2020-01-10,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844
2020-01-11,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,25521165085
2020-01-12,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,22903438381
2020-01-13,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,22482910688
2020-01-14,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,44841784107
2020-01-15,8825.34375,8890.1171875,8657.1875,8807.0107421875,40102834650
2020-01-16,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,31313981931
2020-01-17,8725.2099609375,8958.1220703125,8677.31640625,8929.0380859375,36372139320
2020-01-18,8927.2119140625,9012.1982421875,8827.33203125,8942.80859375,32337772627
2020-01-19,8941.4453125,9164.3623046875,8620.080078125,8706.2451171875,34217320471
2020-01-20,8704.6318359375,8745.5908203125,8560.4736328125,8657.642578125,26422375678
2020-01-21,8658.9912109375,8755.7060546875,8544.5205078125,8745.89453125,24097418512
2020-01-22,8744.2109375,8792.994140625,8636.7470703125,8680.8759765625,22600204051
2020-01-23,8680.650390625,8687.7470703125,8333.6376953125,8406.515625,25770680779
2020-01-24,8405.5673828125,8514.6669921875,8266.8408203125,8445.4345703125,24397913026
2020-01-25,8440.119140625,8458.453125,8296.21875,8367.84765625,19647331549
2020-01-26,8364.41015625,8602.4013671875,8325.498046875,8596.830078125,22177678796
2020-01-27,8597.30859375,8977.7265625,8597.30859375,8909.8193359375,28647338393
2020-01-28,8912.5244140625,9358.58984375,8908.447265625,9358.58984375,34398744403
2020-01-29,9357.470703125,9406.431640625,9269.4677734375,9316.6298828125,30682598115
2020-01-30,9316.0166015625,9553.1259765625,9230.8974609375,9508.9931640625,32378792851
2020-01-31,9508.3134765625,9521.7060546875,9230.7763671875,9350.529296875,29432489719
2020-02-01,9346.357421875,9439.3232421875,9313.2392578125,9392.875,25922656496
2020-02-02,9389.8203125,9468.7978515625,9217.82421875,9344.365234375,30835736946
2020-02-03,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,30934096509
2020-02-04,9292.841796875,9331.265625,9112.8115234375,9180.962890625,29893183716
2020-02-05,9183.416015625,9701.2998046875,9163.7041015625,9613.423828125,35222060874
2020-02-06,9617.8212890625,9824.619140625,9539.818359375,9729.8017578125,37628823716
2020-02-07,9726.0029296875,9834.716796875,9726.0029296875,9795.943359375,34522718159
2020-02-08,9793.0703125,9876.7490234375,9678.91015625,9865.119140625,35172043762
2020-02-09,9863.89453125,10129.435546875,9850.392578125,10116.673828125,35807884663
2020-02-10,10115.5595703125,10165.765625,9784.5634765625,9856.611328125,39386548075
2020-02-11,9855.8916015625,10210.052734375,9729.3349609375,10208.236328125,37648059389
2020-02-12,10202.3876953125,10393.611328125,10202.3876953125,10326.0546875,43444303830
2020-02-13,10323.9609375,10457.626953125,10116.1611328125,10214.3798828125,49356071373
2020-02-14,10211.55078125,10321.99609375,10125.5341796875,10312.1162109375,43338264162
2020-02-15,10313.8564453125,10341.5556640625,9874.427734375,9889.4248046875,43865054831
2020-02-16,9889.1796875,10053.96875,9722.38671875,9934.43359375,43374780305
2020-02-17,9936.560546875,9938.8154296875,9507.6376953125,9690.142578125,45998298413
2020-02-18,9691.23046875,10161.935546875,9632.3828125,10141.99609375,47271023953
2020-02-19,10143.798828125,10191.67578125,9611.2236328125,9633.38671875,46992019710
2020-02-20,9629.3251953125,9643.216796875,9507.900390625,9608.4755859375,44925260237
2020-02-21,9611.7822265625,9723.0146484375,9589.7431640625,9686.44140625,40930547513
2020-02-22,9687.70703125,9698.2314453125,9600.728515625,9663.181640625,35838025154
2020-02-23,9663.318359375,9937.404296875,9657.791015625,9924.515625,41185185761
2020-02-24,9921.5830078125,9951.74609375,9537.04296875,9650.1748046875,45080496648
2020-02-25,9651.3125,9652.7373046875,9305.021484375,9341.705078125,42515259129
2020-02-26,9338.2900390625,9354.7783203125,8704.4267578125,8820.5224609375,50420050762
2020-02-27,8825.09375,8932.892578125,8577.19921875,8784.494140625,45470195695
2020-02-28,8788.728515625,8890.4560546875,8492.9326171875,8672.455078125,44605450443
2020-02-29,8671.212890625,8775.6318359375,8599.5087890625,8599.5087890625,35792392544
2020-03-01,8599.7587890625,8726.796875,8471.212890625,8562.4541015625,35349164300
2020-03-02,8563.2646484375,8921.30859375,8532.630859375,8869.669921875,42857674409
2020-03-03,8865.3876953125,8901.5986328125,8704.990234375,8787.7861328125,42386715821
2020-03-04,8788.5419921875,8843.3662109375,8712.431640625,8755.24609375,34746706368
2020-03-05,8760.28515625,9142.0546875,8757.25390625,9078.7626953125,39698054597
2020-03-06,9078.30859375,9167.6953125,9032.0791015625,9122.5458984375,40826885651
2020-03-07,9121.6005859375,9163.220703125,8890.744140625,8909.9541015625,36216930370
2020-03-08,8908.2060546875,8914.34375,8105.2529296875,8108.1162109375,39973102121
2020-03-09,8111.146484375,8177.79345703125,7690.09814453125,7923.64453125,46936995808
2020-03-10,7922.14697265625,8136.9453125,7814.76318359375,7909.7294921875,42213940994
